District,Latitude,Longitude,Population in 2001,Population in 2011
Ratlam,23.50356229,75.14895782,1215393,1455069
Rewa,24.86118463,81.57572465,1973306,2365106
Sagar,23.80031871,78.71940358,2021987,2378458
Satna,24.62777622,80.75547049,1870104,2228935
Sehore,22.92971997,77.06780203,1078912,1311332
Seoni,22.33230488,79.66053864,1166608,1379131
Shahdol,23.44859865,81.45968318,908148,1066063
Shajapur,23.56662032,76.33555181,1290685,1512681
Sheopur,25.78014811,77.16911117,559495,687861
Shivpuri,25.37802452,77.74861601,1406031,1726050
Sidhi,24.1754719,82.10537834,910983,1127033
Tikamgarh,25.14099852,78.89357065,1202998,1445166
Ujjain,23.31928886,75.80383718,1710982,1986864
Umaria,23.59601063,80.90879477,515963,644758
Vidisha,23.82838308,77.90135076,1214857,1458875
Akola,20.74631048,77.1212232,1629633,1813906
Amravati,21.16520992,77.67583503,2607160,2888445
Aurangabad,20.09792288,75.32072197,2902602,3701282
Bhandara,21.21179265,80.109502,1136146,1200334
Chandrapur,20.09560909,79.3155638,2071101,2204307
Dhule,21.27401869,74.58719072,1707947,2050862
Hingoli,19.59525302,77.09239413,987160,1177345
Jalgaon,20.88289434,75.55140422,3682690,4229917
Jalna,19.98461253,75.98473607,1607391,1959046
Kolhapur,16.44881302,74.12897151,3523162,3876001
Latur,18.34868727,76.75812608,2080285,2454196
Nagpur,21.19655686,79.02166176,4067637,4653570
Nanded,19.20931698,77.6829049,2876259,3361292
Nandurbar,21.52317563,74.32638757,1311709,1648295
Nashik,20.26691287,74.03824168,4993796,6107187
Osmanabad,18.19459456,75.99495575,1486586,1657576
Parbhani,19.31032425,76.70163339,1527715,1836086
Pune,18.51696171,74.12922882,7232555,9429408
Ratnagiri,17.21019507,73.25725894,1696777,1615069
Sangli,17.15493018,74.70713823,2583524,2822143
Satara,17.6737909,74.18052064,2808994,3003741
Sindhudurg,16.17094805,73.51329008,868825,849651
Solapur,17.83735794,75.42394824,3849543,4317756
Thane,19.69876775,72.79882743,8131849,11060148
Wardha,20.80743024,78.57259106,1236736,1300774
Washim,20.28228239,77.25502394,1020822,1197160
Yavatmal,20.04258347,78.05326372,2458271,2772348
Bishnupur,24.50712112,93.8246236,208368,237399
Chandel,24.2635813,94.09443844,118327,144182
Churachandpur,24.30309719,93.38671506,227905,274143
Senapati,25.08465586,94.03366234,283621,479148
Tamenglong,24.98312942,93.4945074,111499,140651
Thoubal,24.54539255,93.97959894,364140,422168
Ukhrul,25.05900315,94.44129567,140778,183998
East Garo Hills,25.82728228,90.64684925,252399,317917
East Khasi Hills,25.30376389,91.7592252,660923,825922
Jaintia Hills,25.33959557,92.3760816,299108,395124
South Garo Hills,25.24056858,90.64560349,110244,142334
West Garo Hills,25.49528519,90.03709947,507309,643291
West Khasi Hills,25.50088993,91.25364542,296049,383461
Aizawl,23.90781335,92.85359459,325676,400309
Champhai,23.54166581,93.24221799,107793,125745
Kolasib,24.20200043,92.73470391,65960,83955
Lawngtlai,22.36102843,92.66964157,87592,117894
Lunglei,23.00771704,92.63512555,137223,161428
Mamit,23.73852943,92.43308038,62785,86364
Saiha,22.35744801,93.02827931,47084,56574
Serchhip,23.26386471,92.9141585,54460,64937
Dimapur,25.81417681,93.75074058,308429,378811
Kohima,25.60311429,93.78600658,219913,267988
